序号,lockers_x,lockers_y,lamda_del,lamda_ret,demand_del,demand_ret
1,-1.22,-45.92,3.69,2.55,6,1
2,-55.9,77.09,2.67,2.43,3,3
3,31.53,-7.75,2.2,3.43,8,4
4,43.79,-4.98,3.05,3.65,1,3
5,51.56,-12.1,3.67,1.97,2,1
6,-98.74,-67.86,1.95,1.4,1,2
7,-74.91,32.42,3.94,1.86,8,1
8,64.92,-26.22,3.29,2.94,1,1
9,-24.7,-64.74,3.86,1.61,5,4
10,-41.57,61.31,2.03,2.76,1,1
11,64.63,-31.69,3.28,1.76,2,0
12,-9.25,30.17,2.69,3.93,4,3
13,34.11,88.78,2.38,2.51,3,3
14,-44.34,7.04,3.33,1.35,6,1
15,20.86,-7.95,3.52,1.62,2,1
16,-8.93,36.17,3.14,1.51,5,4
17,45.32,59.54,3.6,2.48,1,1
18,54.27,52.75,3.25,3.08,2,4
19,-57.38,60.57,1.87,3.92,4,3
20,-93.34,-36.54,1.98,2.08,3,2
21,86.31,61.86,2.45,1.05,2,1
22,52.79,15.45,2.64,3.87,1,10
23,60.01,72.68,1.77,3.84,2,5
24,-35.33,-24.61,1.21,1.77,0,3
25,15.01,-5.41,2.15,2.41,2,1
26,-67.51,-65.27,3.11,1.42,3,3
27,95.51,56.24,3.68,3.44,5,4
28,-36.55,7.46,1.72,1.09,1,1
29,-42.3,-63.34,3.11,3.36,2,7
30,41.02,-47.69,3.84,2.62,7,4
