序号,lockers_x,lockers_y,lamda_del,lamda_ret,demand_del,demand_ret
1,-105.0,26.87,3.5,2.83,2,5
2,-35.63,52.86,2.96,2.19,2,5
3,-49.24,-51.9,3.36,3.07,8,2
4,-23.5,57.99,4.0,4.29,5,3
5,40.2,99.78,1.12,4.64,1,7
6,24.05,88.86,2.32,1.13,2,1
7,68.73,-34.85,2.58,4.66,5,4
8,76.5,78.49,2.33,1.77,1,1
9,-26.19,-105.77,3.39,2.98,7,2
10,-1.13,83.11,3.89,1.82,3,0
11,15.76,56.63,3.59,1.28,1,0
12,-88.14,93.08,1.58,1.19,0,1
13,114.39,-44.03,4.09,4.08,6,2
14,-12.04,-24.94,3.68,4.13,4,2
15,-82.53,60.91,3.2,4.73,3,8
16,-0.08,79.85,1.78,3.6,3,0
17,35.31,100.43,3.61,2.62,5,4
18,98.24,-52.17,1.64,1.94,2,1
19,-54.47,16.09,1.88,3.68,3,6
20,80.77,28.93,4.43,4.7,8,5
21,-5.33,60.49,3.54,4.47,4,8
22,111.05,92.27,4.54,1.21,4,0
23,57.49,-27.74,3.48,3.69,5,2
24,59.58,-88.94,2.8,4.21,4,5
25,62.85,-99.44,3.95,1.54,2,2
26,15.26,-14.77,1.3,1.09,1,2
27,-88.25,-99.29,2.2,2.23,4,2
28,-87.96,-98.35,2.61,1.09,2,1
29,43.28,9.08,3.25,2.07,4,1
30,82.93,-3.8,1.58,4.85,3,6
31,-48.64,41.05,1.66,1.46,0,1
32,56.85,-66.24,3.81,2.81,0,3
33,-97.83,33.81,1.81,2.81,1,2
34,10.21,35.12,1.22,1.57,1,1
35,44.74,102.42,3.45,3.71,2,1
36,41.12,55.67,2.77,1.17,4,3
37,-118.42,-18.47,1.64,3.79,3,5
38,83.8,-62.59,4.54,4.9,3,5
39,-58.93,-60.92,1.15,2.73,4,2
40,102.7,-34.58,2.43,1.88,3,2
41,-110.66,25.5,3.79,4.03,2,3
42,-41.36,-106.42,3.57,1.87,4,5
43,33.67,54.66,4.99,1.64,7,0
44,-117.07,82.12,1.98,3.28,0,1
45,92.9,107.74,4.15,4.4,5,5
46,-61.87,-97.07,3.05,3.32,0,7
47,86.03,-18.3,4.28,3.65,7,0
48,93.72,-31.59,4.96,3.37,4,6
49,-72.48,-49.23,3.13,2.05,1,2
50,12.25,21.49,2.82,2.64,3,0
